"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
0.000000000E0	6.499033710E1	2.555617320E1	1.912387424E1	NaN	NaN	2.694599915E1	1.000000000E0
1.077260104E0	6.499043114E1	2.555652189E1	-6.906714752E0	8.100000381E0	3.909999847E1	9.367687225E0	1.215650272E1
3.270673748E0	6.499057226E1	2.555673095E1	2.126563008E0	NaN	NaN	1.392436504E1	2.063311386E1
4.270691769E0	6.499063268E1	2.555683235E1	2.773090875E0	8.239999771E0	3.550000000E1	3.790092468E0	3.847166538E0
5.269945571E0	6.499069033E1	2.555693120E1	3.755004664E0	7.690000057E0	3.600000000E1	3.790092468E0	3.220670462E0
6.270157029E0	6.499074819E1	2.555702916E1	4.555705390E0	7.900000095E0	3.540000153E1	3.790092468E0	3.404346704E0
7.270489998E0	6.499080771E1	2.555713046E1	4.980613786E0	8.229999542E0	3.609999847E1	3.790092468E0	3.897931814E0
8.269841507E0	6.499086881E1	2.555723295E1	5.602789138E0	8.539999962E0	3.609999847E1	3.790092468E0	4.934587002E0
9.269943330E0	6.499093405E1	2.555733532E1	6.011162234E0	8.779999733E0	3.309999847E1	3.790092468E0	3.591948509E0
1.027014932E1	6.499100357E1	2.555742121E1	6.684861292E0	8.729999542E0	2.489999962E1	3.790092468E0	2.567440987E0
1.127058974E1	6.499107869E1	2.555746582E1	7.070423947E0	8.819999695E0	1.030000019E1	3.790092468E0	2.500000000E0
1.226993375E1	6.499115497E1	2.555748388E1	7.066525780E0	8.619999886E0	1.500000000E0	3.790092468E0	2.500000000E0
1.327027416E1	6.499123337E1	2.555749103E1	7.305062645E0	8.680000305E0	2.500000000E0	3.790092468E0	2.799450159E0
1.426994869E1	6.499131318E1	2.555748755E1	7.605003568E0	8.840000153E0	2.200000048E0	3.790092468E0	3.233141184E0
